ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
"Ba lô da nam nữ thòi trang , ba lô học sinh cấp 2,3 cao cấp SHINE TORE -342",156000,199000,4.416666666666667,12,https://vn-live-01.slatic.net/p/8ce999a5af6bb60f20404d7c76abf2e9.jpg,SHINE TORE SHOP,Backpacks,https://www.lazada.vn/products/pdp-i3081694227.html
YUZHIYUAN | Lightweight Multifunction Fishing Backpack,179000,1319000,4.859550561797753,179,https://filebroker-cdn.lazada.vn/kf/S9b662b36857f400cb317b27b2a0ad8ddh.jpg,YUZHIYUAN,Backpacks,https://www.lazada.vn/products/pdp-i3204486427.html
Balo Chiến Thuật 4P- 40Lit Du Lịch Phượt Cao Cấp,199000,299000,5.0,12,https://vn-live-01.slatic.net/p/58f582e8d3cdd5ce2c837dc004707372.jpg,Bang King,Backpacks,https://www.lazada.vn/products/pdp-i1289058644.html
Balo du lịch cỡ đại 60L thời trang GSR M.E.N BUMNOS [HÀNG MỚI VỀ],162600,207000,5.0,4,https://sg-test-11.slatic.net/p/f5b825ee228543d9232aea4d6ebbef50.jpg,Shalla.vn,Backpacks,https://www.lazada.vn/products/pdp-i2856025005.html
"Fashionable Waterproof Backpack for Middle School and High School Students for Men & Women, Size 42cm (No Accessories Included)",134830,149000,4.866666666666666,75,https://vn-live-01.slatic.net/p/c98b5f56ae3653a953a630aa756f430d.jpg,Chất-Hà Nội,Backpacks,https://www.lazada.vn/products/pdp-i1916502065.html
Balo nam nữ thời trang Hàn quốc chống thấm nước cao cấp LAZA Rosy Backpack 496 Chính hãng phân phối thiết kế unisex,149000,259000,4.891213389121339,239,https://vn-live-01.slatic.net/p/e3e8166c2d480e390b69c0a7649b8948.png,LAZA Official Store,Backpacks,https://www.lazada.vn/products/pdp-i264722379.html
Student backpack new high appearance level backpack male simple all-in-one leisure large capacity student bag computer,67000,134000,4.2,5,https://sg-test-11.slatic.net/p/243927b219c8bd9380ce55ff5c82c58a.png,Deere Jack Store,Backpacks,https://www.lazada.vn/products/pdp-i3040107915.html
Balo Khủng Long Size Lớn,105000,200000,4.776859504132231,121,https://sg-live-01.slatic.net/p/fef8daaf154c3b567461151195a26427.jpg,Dobby1807,Backpacks,https://www.lazada.vn/products/pdp-i289928185.html
Balo cỡ đại 50L 64cm Bumnos phong cách thể thao 5 màu GSR64 [Giá cạnh tranh],163000,250000,4.793103448275862,29,https://vn-live-01.slatic.net/p/ea434a1d3d03952d14ee2bd9393dddba.jpg,Shalla vali balo,Backpacks,https://www.lazada.vn/products/pdp-i2831329606.html
"(Free Gift) Student Backpack, Hello Kitty Backpack, Fits A4, New Model, Super Cute, Size 40, High Quality Waterproof Pu Leather",117810,159000,5.0,5,https://sg-test-11.slatic.net/p/deaed571aec033db861e67a55b8b2488.jpg,AnhTuyet.store,Backpacks,https://www.lazada.vn/products/pdp-i3184708464.html
Balo đi học Hàn Quốc Ulzzang nắp gập nam nữ cặp sách đi học đi chơi du lịch thời trang Unisex FUMI,51450,79000,4.875,32,https://vn-live-01.slatic.net/p/6d154a75b200fb02855f4aa3e7259be3.jpg,XƯỞNG BALO GIÁ RẺ,Backpacks,https://www.lazada.vn/products/pdp-i2660350688.html
Balo thời trang đi học đi chơi Phong cách đơn giản Sarturday,37000,79000,4.783985102420856,537,https://vn-live-01.slatic.net/p/95b89a231964748526a92b238d772037.jpg,Balo Túi Xách Giá Tận Gốc (HCM),Backpacks,https://www.lazada.vn/products/pdp-i2474115173.html
"Balo nữ nam thời trang đi học, đi chơi. Balo Mini đi học túi cặp xách phong cách ulzzang Hàn Quốc phối màu ( balo lẻ study)",45900,79000,4.767441860465116,688,https://vn-live-01.slatic.net/p/5bad20077077452b55b07694f55162ba.jpg,Mun House - Phụ Kiện Xinh,Backpacks,https://www.lazada.vn/products/pdp-i2125532803.html
"Fashionable Backpacks, Backpacks for School, Work, Laptop Backpacks with Laptop Compartment Haras Hr262",150000,250000,4.863265306122449,490,https://vn-live-01.slatic.net/p/d9851a5ee7fd5b47b58f5b629184c4dd.jpg,HARA Shop,Backpacks,https://www.lazada.vn/products/pdp-i444674360.html
Balo cặp ulzzang XIADE trong suốt nữ thời trang đi học đi chơi du lịch giá rẻ đựng vừa laptop canvas CHỐNG NƯỚC,48900,69000,4.493243243243243,296,https://vn-live-01.slatic.net/p/bf61ba0bda56a3813e3f07f77d1f2c9e.jpg,Mun House - Phụ Kiện Xinh,Backpacks,https://www.lazada.vn/products/pdp-i1737442553.html
Balo Ulzzang Hàn Quốc Thời Trang Đi Học Đi Chơi Phối Lưới Chống Thấm- BL01,43000,59000,4.648351648351649,90,https://vn-live-01.slatic.net/p/af90c49f6b45b6dd7b3582ec212d5f32.jpg,XƯỞNG BALO HỒNG LÂM,Backpacks,https://www.lazada.vn/products/pdp-i2045712931.html
"Balo Laptop Chống Sốc 16in, Balo Du Lịch Kích Thước Lớn, Balo đi học Đi Chơi Nhiều Ngăn Tiện Lợi Thời Trang và Chắc Chắn",155820,300000,4.92354740061162,327,https://vn-live-01.slatic.net/p/8aaae3ba281cfdbde4e704bf371cb4d0.jpg,TINTIN_STORE,Backpacks,https://www.lazada.vn/products/pdp-i2409028209.html
balo nam đi học thời trang cặp học sinh phong cách ulzzang ba lô du lịch thể thao giá rẻ,47000,69000,4.747747747747748,111,https://vn-live-01.slatic.net/p/53b158bfac985ec7ec18cb959b599f38.jpg,Mun House - Phụ Kiện Xinh,Backpacks,https://www.lazada.vn/products/pdp-i2394468111.html
"Waterproof and Scratch-Resistant Student Backpack, High-Quality Vietnamese Product",133000,139000,4.910550458715596,436,https://vn-live-01.slatic.net/p/a346f8987bfa793efca89e9d9603dfef.png,Shop Long Tuấn,Backpacks,https://www.lazada.vn/products/pdp-i1936999093.html
Balo Laptop nam nữ đẹp và chống sốc Balo đi học đi chơi đi du lịch nhỏ gọn tiện dụng chất liệu bền bỉ có chống nước,101588,160000,4.798496240601504,665,https://vn-live-01.slatic.net/p/0f62b08a60f18aa9dc95222e25ea546d.jpg,TINTIN_STORE,Backpacks,https://www.lazada.vn/products/pdp-i1980346525.html
